ts,video_id,title,source,source_url,search_query,path,duration,duration,gunfire_density,burst_ratio,audio_rms,center_motion,center_text,panns_gunshot,panns_machine_gun,panns_gun_max,panns_speech,panns_music,killfeed_density,quality_score,heuristic_score,ranker_score,view_count,hook_score,clip_score,fight_score,payoff_score,kill_notification_score,has_author_kill,loot_walk,panns_explosion,quality_ok,reject_reason,batch_id
2026-09-07T21:21:58Z,-p9v3VQaCiY,yt -p9v3VQaCiY,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_-p9v3VQaCiY.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_-p9v3VQaCiY.mp4,13.5,13.5,0.2,4.878,0.2148,0.1857,0.21,0.3724,0.2627,0.3724,0.3445,0.6298,0.6875,0.0375,,,0,,,0.8886,0.0375,0.225,0,0,0.0018,False,payoff_low=0.037:min0.10,21
2026-09-07T21:23:22Z,EIUD2iCWgmA,yt EIUD2iCWgmA,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_EIUD2iCWgmA.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_EIUD2iCWgmA.mp4,11.92,11.92,0.1721,3.833,0.1278,0.1458,0.406,0.648,0.5829,0.648,0.3848,0.1058,0.0,0.5598,0.6783,0.5089,0,,,0.9271,0.22,0.0,1,0,0.004,True,,22
2026-09-07T21:23:59Z,3uhVzABSrxA,yt 3uhVzABSrxA,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_3uhVzABSrxA.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_3uhVzABSrxA.mp4,26.12,26.12,0.0142,37.022,0.0023,0.1056,0.264,0.0011,0.0008,0.0011,0.0203,0.0743,,,,,0,,,,,,,,0.0004,False,run_fake_gun=motion0.106:gun0.014,23
2026-09-07T21:24:19Z,1OjwMxPJk-0,yt 1OjwMxPJk-0,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_1OjwMxPJk-0.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_1OjwMxPJk-0.mp4,36.26,36.26,0.0244,43.437,0.0045,0.1759,0.477,0.0233,0.007,0.0233,0.0215,0.0332,,,,,0,,,,,,,,0.0004,False,run_fake_gun=motion0.176:gun0.024,24
2026-09-07T21:24:22Z,0p5XHBIh9w0,yt 0p5XHBIh9w0,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_0p5XHBIh9w0.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_0p5XHBIh9w0.mp4,55.0,55.0,0.22,5.21,0.2425,0.3128,0.343,0.2944,0.2592,0.2944,0.141,0.5109,0.0,0.0,,,0,,,0.8673,0.0,0.0,0,0,0.0012,False,payoff_low=0.000:min0.10,15
2026-09-07T21:27:10Z,DHikyOn_dZ4,yt DHikyOn dZ4,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_DHikyOn_dZ4.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_DHikyOn_dZ4.mp4,40.86,40.86,0.0717,21.812,0.0402,0.1455,0.364,0.4966,0.6961,0.6961,0.5763,0.0385,0.0,0.0,,,0,,,0.9592,0.0,0.0,0,0,0.0006,False,payoff_low=0.000:min0.10,26
2026-09-07T21:27:38Z,JUdPWEXnHC0,yt JUdPWEXnHC0,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_JUdPWEXnHC0.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_JUdPWEXnHC0.mp4,36.12,36.12,0.2057,4.675,0.1979,0.2984,0.515,0.0003,0.0004,0.0013,0.0149,0.8343,,,,,0,,,,,,,0,0.0013,False,hard_bot_farm=bot_farm_one_sided=quarters4:clusters0:kf0:mini0.000,19
2026-09-07T21:28:08Z,2gXjMAEgX6k,yt 2gXjMAEgX6k,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_2gXjMAEgX6k.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_2gXjMAEgX6k.mp4,24.47,24.47,0.1234,5.531,0.0881,0.1709,0.465,0.007,0.0097,0.0154,0.8128,0.7584,0.4662,0.0,,,0,,,0.7032,0.0,0.225,0,0,0.0154,False,payoff_low=0.000:min0.10,25
2026-09-07T21:29:03Z,2gXjMAEgX6k,yt 2gXjMAEgX6k,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_2gXjMAEgX6k.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_2gXjMAEgX6k.mp4,24.47,24.47,0.1234,5.531,0.0881,0.1709,0.465,0.007,0.0097,0.0154,0.8128,0.7584,0.4662,0.0,,,0,,,0.7032,0.0,0.225,0,0,0.0154,False,payoff_low=0.000:min0.10,18
2026-09-07T21:30:27Z,cYJs0PtTa5w,yt cYJs0PtTa5w,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_cYJs0PtTa5w.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_cYJs0PtTa5w.mp4,36.22,36.22,0.0404,11.314,0.0233,0.2924,0.394,0.3568,0.2737,0.3568,0.0292,0.1169,,,,,0,,,,,,,1,0.0004,False,hard_loot_walk,20
2026-09-07T21:31:58Z,L8jA2CHl8wM,yt L8jA2CHl8wM,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_L8jA2CHl8wM.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_L8jA2CHl8wM.mp4,37.22,37.22,0.2019,5.726,0.2855,0.2961,0.29,0.2466,0.2757,0.2757,0.2613,0.6764,0.0,0.0,,,0,,,0.8504,0.0,0.0,0,0,0.0074,False,payoff_low=0.000:min0.10,27
2026-09-07T21:34:15Z,BkjJjn7y9a8,yt BkjJjn7y9a8,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_BkjJjn7y9a8.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_BkjJjn7y9a8.mp4,48.66,48.66,0.22,6.0,0.3207,0.1994,0.31,0.0287,0.0148,0.0287,0.508,0.7688,,,,,0,,,,,,,0,0.0052,False,hard_bot_farm=bot_farm_one_sided=quarters4:clusters0:kf0:mini0.000,21
2026-09-07T21:37:15Z,IeQJoUUYmso,yt IeQJoUUYmso,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_IeQJoUUYmso.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_IeQJoUUYmso.mp4,23.48,23.48,0.22,3.669,0.2079,0.3513,0.363,0.0024,0.0006,0.0024,0.033,0.8015,0.0,0.0,,,0,,,0.6652,0.0,0.0,0,0,0.0014,False,payoff_low=0.000:min0.10,28
2026-09-07T21:37:15Z,GjG3BravntU,yt GjG3BravntU,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_GjG3BravntU.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_GjG3BravntU.mp4,19.5,19.5,0.0453,16.465,0.0066,0.0879,0.377,0.3494,0.2567,0.3494,0.5017,0.0195,0.5533,0.0,,,0,,,0.571,0.0,0.225,0,0,0.001,False,payoff_low=0.000:min0.10,23
2026-09-07T21:37:23Z,G12IxplQ2OI,yt G12IxplQ2OI,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_G12IxplQ2OI.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_G12IxplQ2OI.mp4,26.92,26.92,0.1692,3.607,0.109,0.1706,0.133,0.0406,0.0613,0.0613,0.028,0.7773,0.0,0.0,,,0,,,0.696,0.0,0.0,0,0,0.0012,False,payoff_low=0.000:min0.10,29
2026-09-07T21:37:31Z,6eWDqQ4sVcQ,yt 6eWDqQ4sVcQ,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_6eWDqQ4sVcQ.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_6eWDqQ4sVcQ.mp4,13.12,13.12,0.0319,5.494,0.0582,0.2539,0.603,0.426,0.4384,0.4384,0.4878,0.0526,,,,,0,,,,,,,,0.0081,False,no_shots=density0.032:burst5.49:ownerrun_fake_gun=motion0.254:gun0.032,31
2026-09-07T21:37:41Z,AK0Ny0XtpOQ,yt AK0Ny0XtpOQ,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_AK0Ny0XtpOQ.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_AK0Ny0XtpOQ.mp4,51.66,51.66,0.0463,27.972,0.0138,0.3241,0.346,0.0395,0.055,0.055,0.7021,0.2403,,,,,0,,,,,,,,0.0007,False,loot_walk=density0.046,24
2026-09-07T21:38:52Z,BdClY8A6rYI,yt BdClY8A6rYI,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_BdClY8A6rYI.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_BdClY8A6rYI.mp4,47.34,47.34,0.0005,138.832,0.0001,0.454,0.326,0.0017,0.0015,0.0017,0.0195,0.0196,,,,,0,,,,,,,,0.0007,False,run_loot=motion0.454:gun0.001,30
